What is your age?,What is your gender?,Where are you from?,What do you do currently?,What is your approximate monthly travel or personal spending budget?,Which place did you visit recently?,What type of trip was it?,How many days did the trip last?,Which month did you travel?,In Which season do you visited?,What was your approximate total trip budget (in rupees)?,What was your primary mode of travel?,How would you describe your stay/hotel experience?,Rate the local transportation experience.,How good were the sightseeing places?,"Overall, how satisfied were you with the trip?",Would you like to revisit the same destination?,"If you travel again, what kind of experience would you prefer?"
23,Male,Maharashtra ,Working Professional,"Less than â‚¹1,000",Tirumala,Family trip,4,October,winter,7000,Train,Good,3,3,5,Yes,Adventure trip
25,Male,Andhra Pradesh,Working Professional,"â‚¹7,000 â€“ â‚¹15,000",kashmir,Family trip,7,February,Summer,5000,Flight,Good,4,5,4,Yes,Nature & sightseeing
19,Male,andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",punjab,Solo,1,November,winter,4500,Bus,Good,4,5,3,Yes,Luxury travel
21,Female,Chennai,Student,"â‚¹1,000 â€“ â‚¹3,000",Ooty,Friends trip,1,March,rainy,1832,Bus,Good,1,3,4,Yes,Relaxing holiday
20,Male,punjab,Student,"Less than â‚¹1,000",Amristar ,Friends trip,2,October,rainy,1500,Bike,Good,4,5,5,Yes,Cultural exploration
21,Male,kerala,Student,"â‚¹3,000 â€“ â‚¹7,000",west bengal,Friends trip,4,January,autumn,12900,Flight,Good,4,4,4,No,Food-focused trip
18,Female,punjab,Student,"â‚¹1,000 â€“ â‚¹3,000",Jalandhar ,Solo,1,November,summer,1500,Car,Average,4,3,3,No,Nature & sightseeing
21,Female,Haryana ,Student,"â‚¹7,000 â€“ â‚¹15,000",Ooty,Friends trip,4,July,Summer,1500,Car,Good,5,5,5,Yes,Relaxing holiday
21,Male,gujarat,Student,"â‚¹3,000 â€“ â‚¹7,000",Rajasthan,Family trip,3,October,rainy,3540,Car,Good,4,5,5,No,Nature & sightseeing
21,Male,madhya pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Dharmasthala,Friends trip,3,January,winter,8000,Bus,Good,4,5,4,Yes,Nature & sightseeing
17,Male,punjab,Student,"Above â‚¹15,000",Amritsar ,Friends trip,5,December,rainy,8175,Bus,Good,5,5,2,Maybe,Relaxing holiday
20,Female,Maharashtra ,Student,"Less than â‚¹1,000",Uttar pradesh ,Friends trip,6,December,Winter,1000,Train,Average,4,5,5,Maybe,Luxury travel
20,Male,Uttar pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar ,Solo,1,November,rainy,1000,Train,Average,4,5,4,Yes,Cultural exploration
26,Female,gujarat,Student,"â‚¹1,000 â€“ â‚¹3,000",Puri,Solo,1,July,Rainy,1500,Flight,Average,3,4,5,Yes,Luxury travel
20,Female,haryana,Student,"â‚¹7,000 â€“ â‚¹15,000",Tirumala,Friends trip,1,October,summer,1484,Train,Excellent,4,5,5,Yes,Nature & sightseeing
21,Male,gujarat,Student,"â‚¹1,000 â€“ â‚¹3,000",Manali,Friends trip,7,September,winter,10000,Car,Excellent,5,5,5,Yes,Adventure trip
17,Female,Haryana ,Student,"â‚¹1,000 â€“ â‚¹3,000",Katra,Friends trip,4,November,winter,6011,Train,Good,5,5,3,Yes,Relaxing holiday
21,Male,Karnataka,Student,"â‚¹7,000 â€“ â‚¹15,000",Mussoorie ,Solo,2,June,rainy,2500,Bus,Average,4,4,4,Maybe,Food-focused trip
20,Male,gujarat,Student,"â‚¹1,000 â€“ â‚¹3,000",Delhi,Family trip,4,March,autumn,5000,Train,Average,4,5,3,Yes,Relaxing holiday
19,Female,Karnataka,Student,"â‚¹1,000 â€“ â‚¹3,000",Hyderabad ,Friends trip,4,October,summer,4527,Train,Average,3,4,2,No,Budget travel
24,Female,Bihar,Student,"Less than â‚¹1,000",Amritsar ,Friends trip,2,November,Winter,2600,Car,Good,3,4,4,Yes,Nature & sightseeing
22,Female,Agra,Student,"Less than â‚¹1,000",Manali,Friends trip,5,October,summer,5586,Car,Average,3,5,5,Yes,Food-focused trip
19,Female,Amritsar ,Student,"â‚¹3,000 â€“ â‚¹7,000",Amritsar ,Friends trip,1,May,winter,960,Train,Average,5,5,5,Maybe,Cultural exploration
21,Female,odisha,Student,"â‚¹1,000 â€“ â‚¹3,000",Haridwar ,Friends trip,5,October,rainy,4651,Train,Good,3,5,5,Maybe,Budget travel
21,Male,Himachal Pradesh ,Student,"Less than â‚¹1,000",Dharamshala ,Friends trip,1,July,summer,1500,Bike,Average,5,5,5,Yes,Nature & sightseeing
21,Male,hyderabad,Student,"â‚¹3,000 â€“ â‚¹7,000",Tadkeshwar dham ,Solo,6,October,Winter,6267,Car,Excellent,5,3,5,Yes,Relaxing holiday
22,Male,punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",manali,Solo,6,March,Winter,3000,Bus,Average,4,5,4,Yes,Budget travel
20,Female,nagaland,Student,"â‚¹3,000 â€“ â‚¹7,000",tirupati,Friends trip,6,March,rainy,21000,Bus,Good,3,3,3,Yes,Relaxing holiday
25,Male,Visakhapatnam ,Student,"Above â‚¹15,000",Haridwar,Solo,4,September,Summer,5640,Train,Good,5,4,5,Yes,Adventure trip
19,Female,Visakhapatnam ,Homemaker,"Less than â‚¹1,000",hyderabad,Family trip,1,April,winter,2557,Train,Good,4,5,3,Yes,Budget travel
23,Male,punjab,Homemaker,"Less than â‚¹1,000",assam,Friends trip,4,may,Autumn,6395,Bike,Good,4,3,4,Yes,Budget travel
20,Female,Kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Triund ,Friends trip,7,October,summer,7112,Bus,Good,5,5,4,Yes,Nature & sightseeing
18,Female,Andhra radesh,Student,"Less than â‚¹1,000",Jammu ,Friends trip,3,October,summer,6000,Car,Average,4,4,4,Maybe,Relaxing holiday
20,Male,Karnataka,Student,"â‚¹3,000 â€“ â‚¹7,000",Kukunate,Friends trip,1,October,autumn,1500,Bike,Average,5,5,5,Maybe,Food-focused trip
20,Female,Andhrapradesh ,Student,"Less than â‚¹1,000",Karnataka ,Family trip,5,July,Rainy,35000,Car,Good,5,5,5,Maybe,Relaxing holiday
17,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Haridwar ,Solo,4,October,rainy,6141,Train,Excellent,4,5,5,No,Budget travel
19,Female,kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Amirtsar,Friends trip,1,November,winter,8000,Bike,Average,1,5,5,Yes,Relaxing holiday
19,Female,Jharkhand,Student,"â‚¹3,000 â€“ â‚¹7,000",Uttarakhand,Family trip,7,May,Summer,3000,Train,Good,5,5,5,Yes,Nature & sightseeing
21,Female,tamil nadu,Student,"â‚¹3,000 â€“ â‚¹7,000",Agra,Family trip,5,January,Winter,6301,Car,Excellent,5,5,5,Maybe,Cultural exploration
23,Female,chhattisgarh,Student,"â‚¹7,000 â€“ â‚¹15,000",Triund,Family trip,7,April,Summer,11939,Train,Good,5,5,4,Yes,Adventure trip
20,Female,Karnataka,Student,"â‚¹1,000 â€“ â‚¹3,000",punjab,Friends trip,1,November,summer,2000,Bike,Good,3,3,3,No,Food-focused trip
17,Female,Bihar ,Student,"Above â‚¹15,000",Jammu and Kashmir ,Friends trip,7,August,winter,6658,Car,Good,5,4,5,Yes,Luxury travel
21,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Shimla,Friends trip,4,November,summer,9000,Bus,Good,4,5,5,Yes,Adventure trip
19,Female,odisha,Student,"Above â‚¹15,000",Manali,Friends trip,5,October,rainy,1000,Car,Excellent,4,5,5,Maybe,Adventure trip
19,Female,hyderabad,Student,"â‚¹3,000 â€“ â‚¹7,000",hyderabad,Solo,1,June,Summer,900,Flight,Excellent,5,5,5,Yes,Relaxing holiday
18,Female,madhya pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Tirupati ,Family trip,3,May,rainy,7000,Train,Excellent,4,5,4,Yes,Cultural exploration
20,Female,chhattisgarh,Student,"Above â‚¹15,000",Amritsar ,Friends trip,1,November,rainy,900,Train,Average,5,5,1,Yes,Cultural exploration
21,Male,Visakhapatnam ,Homemaker,"â‚¹7,000 â€“ â‚¹15,000",Hyderabad ,Family trip,5,April,Spring,7000,Flight,Good,5,5,4,Yes,Luxury travel
18,Female,uttarakhand,Student,"â‚¹7,000 â€“ â‚¹15,000",Jammu ,Friends trip,2,November,autumn,2720,Bus,Good,1,2,4,Yes,Cultural exploration
22,Female,Karnataka,Student,"â‚¹3,000 â€“ â‚¹7,000",Dramshala,Friends trip,3,October,summer,5000,Car,Very poor,4,4,4,Maybe,Food-focused trip
17,Female,west bengal,Student,"Less than â‚¹1,000",Shilma,Friends trip,2,September,winter,2407,Train,Good,4,5,3,Yes,Cultural exploration
19,Female,uttarakhand,Student,"â‚¹3,000 â€“ â‚¹7,000",Dharmshala ,Friends trip,3,October,rainy,5000,Train,Average,4,5,4,Yes,Budget travel
19,Female,odisha,Student,"â‚¹7,000 â€“ â‚¹15,000",Tirupati,Solo,3,June,Winter,4382,Bus,Good,3,3,3,Maybe,Relaxing holiday
21,Female,Bangalore ,Student,"â‚¹7,000 â€“ â‚¹15,000",Kerala ,Friends trip,1,October,Winter,900,Bus,Good,4,5,4,Yes,Relaxing holiday
24,Male,Andhra pradesh,Working Professional,"Less than â‚¹1,000",Kashmir ,Friends trip,7,October,summer,10690,Bus,Poor,4,5,1,Yes,Nature & sightseeing
21,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Jalandhar ,Friends trip,2,September,Winter,2641,Train,Good,5,5,5,Yes,Relaxing holiday
26,Male,karnataka,Student,"â‚¹1,000 â€“ â‚¹3,000",manali,Friends trip,4,March,Spring,4000,Train,Good,5,5,4,Yes,Luxury travel
20,Female,jalandhar,Student,"Less than â‚¹1,000",Jalandhar,Friends trip,1,October,summer,1000,Bus,Average,3,3,3,Maybe,Relaxing holiday
26,Male,napal,Business,"â‚¹1,000 â€“ â‚¹3,000",kashmir,Friends trip,8,April,Summer,35000,Flight,Excellent,5,4,4,Yes,Food-focused trip
19,Male,bihar,Student,"Less than â‚¹1,000",Vishakapatnam,Friends trip,6,September,autumn,8501,Train,Good,3,5,4,Yes,Relaxing holiday
21,Male,Andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",kashmir,Friends trip,3,May,winter,5175,Train,Excellent,3,5,4,No,Relaxing holiday
21,Male,punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",kashmir ,Solo,6,November,Spring,6000,Bus,Excellent,5,5,5,Yes,Relaxing holiday
19,Male,Kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Triund ,Friends trip,1,May,Autumn,1481,Bus,Average,3,4,5,Yes,Cultural exploration
21,Female,madhya pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Delhi,Family trip,2,October,autumn,4000,Bus,Poor,4,5,3,No,Relaxing holiday
20,Male,Maharashtra ,Student,"Above â‚¹15,000",Amristar ,Solo,4,February,summer,5335,Car,Good,4,5,5,Yes,Relaxing holiday
17,Male,kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Jalandhar ,Solo,3,December,Spring,4947,Flight,Good,4,5,5,Yes,Relaxing holiday
20,Male,nepal,Business,"â‚¹1,000 â€“ â‚¹3,000",bhutan,Solo,6,October,winter,28000,Flight,Excellent,5,5,5,Yes,Luxury travel
21,Male,madhya pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Amritsar,Friends trip,1,September,summer,1574,Flight,Excellent,3,5,3,Yes,Relaxing holiday
19,Female,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Yadadri,Friends trip,1,August,Spring,900,Bus,Average,4,5,4,Yes,Cultural exploration
21,Male,Andhra Pradesh,Student,"Above â‚¹15,000",Jalandhar ,Friends trip,2,September,Spring,4000,Car,Excellent,5,4,5,Yes,Relaxing holiday
20,Female,punjab,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar,Friends trip,1,October,autumn,900,Train,Good,4,3,3,No,Nature & sightseeing
20,Female,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Kashmir ,Friends trip,5,November,winter,8000,Bus,Good,5,5,5,Yes,Budget travel
20,Male,Maharashtra ,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Friends trip,5,November,rainy,5000,Car,Average,5,5,5,No,Relaxing holiday
19,Female,kerala,Business,"â‚¹3,000 â€“ â‚¹7,000",tirupati,Family trip,4,November,rainy,5469,Bike,Average,3,5,5,Yes,Nature & sightseeing
18,Female,Karnataka,Student,"Less than â‚¹1,000",Ludhiana,Solo,1,November,summer,1000,Bus,Excellent,5,4,5,Yes,Food-focused trip
24,Female,telangana,Student,"Less than â‚¹1,000",Ranchi ,Family trip,6,May,winter,10436,Car,Good,4,5,4,Yes,Luxury travel
17,Male,punjab,Student,"â‚¹1,000 â€“ â‚¹3,000",Jyothi chowka,Family trip,5,October,autumn,7582,Train,Good,2,5,4,Maybe,Adventure trip
17,Male,madhya pradesh,Student,"Less than â‚¹1,000",red fort,Solo,1,November,rainy,1019,Car,Good,3,5,4,Maybe,Budget travel
20,Female,tripura,Student,"â‚¹3,000 â€“ â‚¹7,000",red fort,Solo,3,May,summer,5400,Flight,Average,4,5,5,Yes,Nature & sightseeing
20,Female,Tamil Nadu,Student,"Less than â‚¹1,000",Tirupati,Friends trip,7,June,winter,5400,Bus,Good,4,4,4,Yes,Relaxing holiday
25,Female,manipur,Business,"â‚¹3,000 â€“ â‚¹7,000",America ,Business trip,5,January,Spring,4648,Bike,Good,2,1,1,Yes,Cultural exploration
20,Male,kerala,Student,"Above â‚¹15,000",dharmashala,Family trip,7,May,winter,5000,Car,Good,3,4,4,Yes,Relaxing holiday
20,Female,tripura,Student,"Above â‚¹15,000",Ranchi ,Solo,7,July,autumn,1500,Car,Average,5,5,5,Yes,Relaxing holiday
19,Male,Maharashtra ,Student,"â‚¹7,000 â€“ â‚¹15,000",Ooty,Friends trip,2,November,Spring,2450,Train,Good,5,5,4,No,Relaxing holiday
20,Female,andhra pradesh,Student,"Above â‚¹15,000",Vijayawada,Solo,5,July,summer,1500,Train,Good,5,5,5,Yes,Nature & sightseeing
17,Male,Kerala,Student,"Above â‚¹15,000",tirupati,Friends trip,3,July,autumn,3755,Train,Good,3,3,4,No,Cultural exploration
21,Male,andhra pradesh,Student,"Above â‚¹15,000",Kanyakumari,Solo,4,July,summer,7000,Flight,Good,5,5,5,Yes,Nature & sightseeing
19,Male,andhra pradesh,Student,"Above â‚¹15,000",tirupati,Solo,12,October,Spring,11181,Train,Good,4,1,5,Yes,Luxury travel
21,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Punjab,Solo,1,April,Winter,1328,Train,Good,4,3,1,Yes,Nature & sightseeing
20,Male,tamil nadu,Student,"â‚¹1,000 â€“ â‚¹3,000",Haridwar and rishikesh ,Friends trip,3,October,winter,20000,Bike,Excellent,5,5,5,Yes,Adventure trip
20,Male,Andhra radesh,Student,"Less than â‚¹1,000",Kanyakumari,Friends trip,1,November,winter,6000,Car,Good,4,4,3,Yes,Relaxing holiday
24,Male,Karnataka,Student,"Above â‚¹15,000",Shiridi ,Friends trip,7,February,summer,12702,Train,Excellent,3,3,5,Yes,Food-focused trip
24,Male,kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Golden temple ,Friends trip,10,October,summer,13566,Flight,Average,4,5,2,Yes,Relaxing holiday
18,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Gao,Friends trip,1,November,autumn,1412,Train,Excellent,3,4,5,Maybe,Cultural exploration
23,Male,telangana,Student,"Less than â‚¹1,000",Manikomda,Family trip,6,November,winter,6160,Bus,Good,3,5,4,Yes,Adventure trip
17,Female,Uttar Pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",tirupati,Friends trip,10,October,summer,10135,Bus,Good,3,4,5,Yes,Budget travel
22,Female,manipur,Student,"â‚¹3,000 â€“ â‚¹7,000",Palampur ,Family trip,3,August,winter,16300,Car,Good,2,4,4,Yes,Adventure trip
19,Male,karnataka,Business,"â‚¹1,000 â€“ â‚¹3,000",manali,Solo,1,March,autumn,976,Train,Good,5,4,5,Yes,Adventure trip
20,Female,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Jalandhar ,Friends trip,1,November,autumn,17500,Bus,Excellent,5,5,5,Yes,Relaxing holiday
19,Female,Uttar pradesh ,Student,"Less than â‚¹1,000",Triund,Friends trip,8,August,Spring,13657,Bus,Good,4,4,5,Yes,Adventure trip
19,Male,andhra pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Shiridi ,Friends trip,5,November,Spring,10000,Bike,Good,5,5,5,Yes,Nature & sightseeing
17,Female,Khammam,Student,"Less than â‚¹1,000",Delhi,Family trip,2,July,Winter,2380,Car,Good,5,3,3,Maybe,Nature & sightseeing
21,Female,Amritsar ,Student,"Less than â‚¹1,000",Bir biling ,Friends trip,6,July,Summer,7394,Car,Average,5,5,5,Yes,Nature & sightseeing
22,Male,kerela,Student,"â‚¹7,000 â€“ â‚¹15,000",manali,Solo,8,November,Winter,15000,Train,Average,4,5,4,Yes,Budget travel
18,Female,odisha,Student,"â‚¹7,000 â€“ â‚¹15,000",Jalandhar ,Family trip,3,November,winter,4859,Flight,Good,4,5,5,Yes,Nature & sightseeing
28,Female,Tamil Nadu,Working Professional,"Less than â‚¹1,000",Kerala,Family trip,6,June,Summer,45000,Flight,Excellent,5,5,5,Yes,Relaxing holiday
17,Female,haryana,Student,"â‚¹3,000 â€“ â‚¹7,000",kashmir,Friends trip,3,July,rainy,3134,Flight,Good,1,5,5,Maybe,Cultural exploration
20,Male,punjab,Student,"Less than â‚¹1,000",Manali,Family trip,4,October,summer,5999,Bike,Excellent,3,5,5,Maybe,Nature & sightseeing
24,Female,Andhra radesh,Student,"Less than â‚¹1,000",Chennai,Friends trip,6,October,summer,8273,Train,Average,4,4,5,Yes,Relaxing holiday
23,Male,Uttar pradesh,Student,"Less than â‚¹1,000",Jammu,Friends trip,5,June,winter,7838,Train,Average,3,5,5,Yes,Cultural exploration
21,Male,Rajasthan ,Student,"â‚¹7,000 â€“ â‚¹15,000",manipur,Solo,2,December,autumn,7500,Bike,Excellent,5,1,4,Yes,Relaxing holiday
21,Male,Karnataka,Student,"Less than â‚¹1,000",Delhi,Friends trip,7,May,winter,8000,Train,Average,3,4,4,No,Food-focused trip
21,Female,Tamil Nadu,Student,"Above â‚¹15,000",Sikkim ,Friends trip,5,June,Spring,10000,Train,Good,3,3,4,Yes,Cultural exploration
18,Female,Andhra Pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",Tirupati ,Family trip,4,July,Summer,10000,Train,Good,5,5,5,Yes,Adventure trip
20,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Manali,Friends trip,5,December,winter,1200,Train,Excellent,2,4,4,Yes,Cultural exploration
19,Female,Andhra pradesh,Student,"Above â‚¹15,000",Delhi,Friends trip,5,July,rainy,2500,Flight,Excellent,1,1,5,Maybe,Adventure trip
35,Female,andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Vaishno devi,Solo,9,November,rainy,15143,Train,Average,2,5,5,No,Relaxing holiday
17,Female,Uttar Pradesh,Business,"â‚¹3,000 â€“ â‚¹7,000",kashmir,Friends trip,4,July,Autumn,4215,Car,Average,3,5,4,Maybe,Budget travel
17,Female,odisha,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar,Friends trip,3,January,rainy,3555,Bike,Average,4,5,5,No,Relaxing holiday
21,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Triund,Friends trip,4,October,Spring,8000,Bike,Excellent,4,5,5,Maybe,Adventure trip
20,Male,Karnataka,Student,"Above â‚¹15,000",Bangalore ,Friends trip,3,October,rainy,3905,bus,Average,3,4,4,Yes,Relaxing holiday
19,Female,kerala,Student,"â‚¹7,000 â€“ â‚¹15,000",manali,Family trip,9,May,winter,16229,Bus,Good,3,5,5,Yes,Relaxing holiday
19,Female,Tamil Nadu,Student,"â‚¹3,000 â€“ â‚¹7,000",Dharmashala ,Friends trip,1,October,winter,1507,Car,Very poor,4,5,4,Maybe,Adventure trip
20,Female,Uttar Pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",Ujjain ,Family trip,2,January,Winter,15000,Train,Good,3,4,4,Yes,Cultural exploration
22,Male,Jammu,Student,"â‚¹1,000 â€“ â‚¹3,000",Kashmir,Solo,3,December,Winter,12000,Bus,Poor,4,5,4,No,Adventure trip
23,Female,Bihar,Student,"â‚¹1,000 â€“ â‚¹3,000",Jalandhar ,Friends trip,5,November,autumn,7729,Car,Good,5,5,4,Yes,Nature & sightseeing
20,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Manali,Friends trip,5,October,winter,10000,Bike,Good,4,5,4,Yes,Budget travel
20,Female,Delhi,Homemaker,"Less than â‚¹1,000",tirupati,Family trip,10,June,Winter,14288,Flight,Good,4,4,4,Maybe,Relaxing holiday
31,Male,tamil nadu,Farmer ,"â‚¹1,000 â€“ â‚¹3,000",Tirupati,Family trip,1,October,winter,1000,Bike,Good,5,3,5,Yes,Cultural exploration
22,Female,Punjab,Student,"â‚¹7,000 â€“ â‚¹15,000",Triund,Friends trip,1,June,Winter,1043,Bus,Average,4,5,4,Yes,Luxury travel
21,Female,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Delhi ,Friends trip,3,October,winter,5038,Car,Excellent,3,1,5,Maybe,Budget travel
18,Female,Bihar ,Student,"â‚¹3,000 â€“ â‚¹7,000",Vaishno Devi,Friends trip,3,November,winter,5531,Bike,Good,4,5,4,Yes,Nature & sightseeing
19,Male,odisha,Student,"â‚¹3,000 â€“ â‚¹7,000",Bangalore ,Friends trip,1,October,rainy,1223,Bus,Average,3,4,4,Yes,Relaxing holiday
19,Female,Andhra Pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",tirupati,Friends trip,2,September,Winter,2241,Flight,Excellent,4,4,4,No,Relaxing holiday
20,Male,bihar,Student,"â‚¹7,000 â€“ â‚¹15,000",Jammu,Friends trip,3,October,summer,6000,Train,Average,4,4,4,Maybe,Nature & sightseeing
20,Female,Amritsar ,Student,"â‚¹1,000 â€“ â‚¹3,000",Bir biling ,Family trip,3,July,Summer,8000,Car,Average,5,5,5,Yes,Nature & sightseeing
22,Male,Andhra Pradesh,Student,"Less than â‚¹1,000",Amritsar,Friends trip,1,November,autumn,10000,Car,Good,4,5,5,Maybe,Cultural exploration
21,Male,Karnataka,Student,"â‚¹3,000 â€“ â‚¹7,000",tirupati ,Family trip,1,October,autumn,1900,Bike,Good,3,3,3,Yes,Food-focused trip
21,Female,Kanpur,Student,"â‚¹1,000 â€“ â‚¹3,000",Manali,Friends trip,4,November,Winter,10000,Bus,Excellent,4,4,4,Yes,Relaxing holiday
20,Male,Andhra Pradesh,Student,"Less than â‚¹1,000",kedarnath ,Friends trip,7,October,autumn,12600,Train,Average,3,3,5,Maybe,Adventure trip
20,Female,Kerala,Student,"Less than â‚¹1,000",Manali,Friends trip,1,October,Summer,1308,Flight,Average,5,5,2,Yes,Adventure trip
21,Female,uttar pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Bangalore ,Friends trip,5,August,rainy,25000,Flight,Good,4,4,4,Yes,Nature & sightseeing
20,Female,Haryana ,Student,"â‚¹1,000 â€“ â‚¹3,000",Shilma,Friends trip,4,January,Winter,10000,Bus,Good,4,4,5,Maybe,Adventure trip
19,Female,Karnataka,Student,"â‚¹1,000 â€“ â‚¹3,000",Haridwar ,Friends trip,8,October,Winter,11843,Train,Average,4,4,4,Maybe,Nature & sightseeing
21,Male,Uttar pradesh ,Student,"â‚¹3,000 â€“ â‚¹7,000",dharmshala ,Friends trip,5,November,rainy,3500,Bus,Average,2,3,3,Yes,Adventure trip
20,Male,jammu,Student,"â‚¹7,000 â€“ â‚¹15,000",Jammu,Friends trip,3,November,winter,3000,Train,Average,3,4,4,Yes,Nature & sightseeing
20,Female,Punjab ,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar ,Friends trip,3,November,Winter,900,Bus,Average,3,4,4,Maybe,Nature & sightseeing
22,Female,Maharashtra ,Working Professional,"â‚¹3,000 â€“ â‚¹7,000",Dharamshala ,Friends trip,3,May,Summer,4346,Train,Poor,4,5,4,Maybe,Food-focused trip
18,Male,Andhra Pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Punjab,Friends trip,3,November,summer,7000,Train,Average,3,3,4,Yes,Cultural exploration
20,Female,chandigarh,Student,"Less than â‚¹1,000",Jalandhar ,Solo,2,November,summer,3500,Bus,Good,4,5,5,Yes,Relaxing holiday
22,Female,Rajasthan ,Student,"â‚¹3,000 â€“ â‚¹7,000",Golden temple ,Family trip,1,November,Winter,1000,Bus,Good,3,5,4,Maybe,Relaxing holiday
20,Female,bihar,Student,"â‚¹1,000 â€“ â‚¹3,000",tirupati,Solo,7,December,summer,25000,Train,Average,3,4,3,No,Relaxing holiday
